category,occurrences,depths_seen,depth_occurrences_json
Motorcycle & ATV Casual Footwear,6,2,"{""2"":6}"
Oxford & Derby,6,5,"{""5"":6}"
Promise Rings,6,5,"{""5"":6}"
Racquet Sports,6,5,"{""5"":6}"
Retainers,6,6,"{""6"":6}"
Shoe Bags,6,4,"{""4"":6}"
Shoe Brushes,6,4,"{""4"":6}"
Smartwatches,6,4,"{""4"":6}"
Snow Pants & Bibs,6,"5,6","{""5"":3,""6"":3}"
Suit Jackets,6,6,"{""6"":6}"
Swim Diapers,6,6,"{""6"":6}"
Two-Piece Suits,6,5,"{""5"":6}"
Women's Comfort Shoes FA Test,6,2,"{""2"":6}"
Bra Extenders,5,7,"{""7"":5}"
Breast Petals,5,7,"{""7"":5}"
Cover-Ups & Wraps,5,5,"{""5"":5}"
Designer Shoes & Handbags,5,2,"{""2"":5}"
Dresses Under $50,5,"2,3","{""2"":4,""3"":1}"
Gemstones,5,2,"{""2"":5}"
Gymnastics,5,3,"{""3"":5}"
Hats,5,5,"{""5"":5}"
Jumpsuits & Rompers,5,4,"{""4"":5}"
Knits & Tees,5,6,"{""6"":5}"
Men's Watches Under $50,5,2,"{""2"":5}"
Pocket Watch Chains,5,4,"{""4"":5}"
"Prime Day: 30% off Select Clothing, Shoes & More for Men, Women, Kids & Baby",5,2,"{""2"":5}"
Shirt Studs,5,4,"{""4"":5}"
Shoe Dryers,5,4,"{""4"":5}"
Shoe Polishes,5,5,"{""5"":5}"
"Skirts, Skooters & Skorts",5,6,"{""6"":5}"
Softball,5,3,"{""3"":5}"
Sunsuits,5,6,"{""6"":5}"
Test Color,5,2,"{""2"":5}"
Water & Stain Treatments,5,5,"{""5"":5}"
Women's Dresses Under $25,5,2,"{""2"":5}"
Women's Sandal Markdowns,5,2,"{""2"":5}"
Workout Top & Bottom Sets,5,6,"{""6"":5}"
Boys Active,4,3,"{""3"":4}"
Caps,4,6,"{""6"":4}"
Clothing Outlet,4,2,"{""2"":4}"
Cover-Up Sets,4,"6,7","{""6"":1,""7"":3}"
Earring Jackets,4,5,"{""5"":4}"
Eyewear,4,5,"{""5"":4}"
Feather Boas,4,4,"{""4"":4}"
Girls Apparel,4,"2,3","{""2"":3,""3"":1}"
"Girls Boots, Clogs & Mules",4,3,"{""3"":4}"
Girls Sandals & Pumps,4,3,"{""3"":4}"
Hats & Headwear,4,5,"{""5"":4}"
Hosiery,4,6,"{""6"":4}"
Karate,4,4,"{""4"":4}"
Kids,4,4,"{""4"":4}"
Kids Activewear,4,2,"{""2"":4}"
Leotards,4,5,"{""5"":4}"
Markdowns,4,2,"{""2"":4}"
MFN Only,4,2,"{""2"":4}"
Pajama Bottoms,4,5,"{""5"":4}"
Rain Hats,4,5,"{""5"":4}"
Sleep Tops,4,5,"{""5"":4}"
Snow Boots,4,5,"{""5"":4}"
Softball & Baseball,4,6,"{""6"":4}"
Sunglasses & Eyewear,4,7,"{""7"":4}"
Tankini Sets,4,7,"{""7"":4}"
Teddies & Bodysuits,4,6,"{""6"":4}"
Unisex Baby Clothing,4,2,"{""2"":4}"
Wind & Rain,4,6,"{""6"":4}"
4th of July Up to 60% Off,3,2,"{""2"":3}"
Active Vests,3,5,"{""5"":3}"
Anniversary Rings,3,5,"{""5"":3}"
Apparel and accessories Made in Italy,3,2,"{""2"":3}"
Bib Pants,3,6,"{""6"":3}"
Bloomers,3,6,"{""6"":3}"
Boxing,3,3,"{""3"":3}"
Button-Down & Dress Shirts,3,6,"{""6"":3}"
Cleaning & Care,3,4,"{""4"":3}"
Diamonds,3,2,"{""2"":3}"
Field Hockey & Lacrosse,3,6,"{""6"":3}"
Green Lit 241,3,2,"{""2"":3}"
Green Monday | 30% Off for Men,3,2,"{""2"":3}"
Green Monday | 30% Off for Women,3,2,"{""2"":3}"
Handbags Under $30,3,2,"{""2"":3}"
Lingerie Semi-Annual Savings,3,2,"{""2"":3}"
Men's Swimwear,3,3,"{""3"":3}"
Nursing & Maternity Bras,3,5,"{""5"":3}"
Oxford & Loafer,3,6,"{""6"":3}"
Oxfords & Loafers,3,5,"{""5"":3}"
Prime Wardrobe: Columbia Try Before You Buy,3,2,"{""2"":3}"
Ring Enhancers,3,5,"{""5"":3}"
Rugby,3,"3,6","{""3"":2,""6"":1}"
Shoe Care Kits,3,5,"{""5"":3}"
Shop by Designer,3,2,"{""2"":3}"
"Street, Surf & Skate",3,2,"{""2"":3}"
Suit Pants,3,6,"{""6"":3}"
Tights & Hosiery,3,4,"{""4"":3}"
Tops & Corsets,3,5,"{""5"":3}"
20% Off Prime Members Exclusive | Men,2,2,"{""2"":2}"
Amazon Fashion Sales & Deals,2,2,"{""2"":2}"
Bags Made in Italy,2,4,"{""4"":2}"
Belly Bands,2,5,"{""5"":2}"
Big Kid Size 7,2,2,"{""2"":2}"
Bodystockings,2,6,"{""6"":2}"
Boys Sneakers (no fs),2,3,"{""3"":2}"
California Costumes,2,2,"{""2"":2}"
Casual Dresses Under $50,2,2,"{""2"":2}"
Collar Stays,2,4,"{""4"":2}"
Cravats,2,5,"{""5"":2}"
Facial Hair,2,4,"{""4"":2}"
Fashion Watches,2,2,"{""2"":2}"
Food Service Shoes,2,4,"{""4"":2}"
Food Service Uniforms,2,3,"{""3"":2}"
Fun World Costumes,2,2,"{""2"":2}"
"Girls Sneakers (fs, no puma)",2,3,"{""3"":2}"
Girls Swimwear 2,2,3,"{""3"":2}"
Girls' Swimwear,2,3,"{""3"":2}"
Green Lit 197,2,2,"{""2"":2}"
Green Lit 641,2,2,"{""2"":2}"
Jackets and Coats,2,3,"{""3"":2}"
Kids Swimwear,2,2,"{""2"":2}"
Kids' Clothing,2,2,"{""2"":2}"
Kids' Shoes Markdown,2,2,"{""2"":2}"
Kids' Watches,2,2,"{""2"":2}"
Leg Warmers & Hosiery,2,5,"{""5"":2}"
"Makeup, Facial Hair & Adhesives",2,3,"{""3"":2}"
Men's fashion Made in Italy,2,3,"{""3"":2}"
Motorcycle & ATV Casual Wear,2,2,"{""2"":2}"
New Looks from Prime Wardrobe,2,2,"{""2"":2}"
Outlet: Clothing,2,3,"{""3"":2}"
Pleated,2,5,"{""5"":2}"
Premium Fashion Testing,2,2,"{""2"":2}"
Prime Day: 30% off select fashion,2,2,"{""2"":2}"
Restaurant Store,2,2,"{""2"":2}"
Shirts Under $30,2,2,"{""2"":2}"
Splurgeworthy Womens Shoes,2,2,"{""2"":2}"
Straps,2,7,"{""7"":2}"
Tees & Tops for College under $25,2,2,"{""2"":2}"
"Top 1,000 3P ASINs Under $15",2,2,"{""2"":2}"
Trunks & Shorts,2,6,"{""6"":2}"
Tuxedo Shirts,2,5,"{""5"":2}"
Ugly Holiday Sweaters (and More) for the Family,2,2,"{""2"":2}"
"Undershirts, Tanks & Camisoles",2,5,"{""5"":2}"
Up to 20% Off Select Jewelry & Watches,2,2,"{""2"":2}"
Veterans Day Savings: 20% or More Off,2,2,"{""2"":2}"
Wallets & Money Organizers,2,4,"{""4"":2}"
Women's Festive Wear,2,2,"{""2"":2}"
$50 and Under Backpacks,1,2,"{""2"":1}"
100% Plus & Featured Brands,1,2,"{""2"":1}"
20% Off $100 Women's & Men's,1,2,"{""2"":1}"
20% Off $80 Women's Shoes & Handbags,1,2,"{""2"":1}"
20% Off President's Day Savings | Kids & Baby,1,2,"{""2"":1}"
20% Off Prime Members Exclusive | Kids,1,2,"{""2"":1}"
25% Off Harley Davidson Footwear,1,2,"{""2"":1}"
"4+ Stars: Clothes, Shoes and Jewelry",1,2,"{""2"":1}"
Adult Apparel,1,2,"{""2"":1}"
Amazon Private and Exclusive Brands,1,2,"{""2"":1}"
Associates top products,1,2,"{""2"":1}"
Baby Boys Shoes Union,1,3,"{""3"":1}"
Baby Boys' Swimwear,1,3,"{""3"":1}"
Baby Girls' Clothes Under $10,1,2,"{""2"":1}"
Baby Girls' Outerwear,1,2,"{""2"":1}"
Baby Girls' Swimwear,1,3,"{""3"":1}"
Backpacks Under $25,1,2,"{""2"":1}"
Backpacks Under $50,1,2,"{""2"":1}"
Ballet,1,6,"{""6"":1}"
BIBA End of Season Sale,1,2,"{""2"":1}"
Big Kid Size 8,1,2,"{""2"":1}"
Birthstone Jewelry Gifts,1,2,"{""2"":1}"
"Boys Sneakers (fs, no puma)",1,3,"{""3"":1}"
Boys' Character Shop,1,2,"{""2"":1}"
Build Your Wardrobe: Cardigans for Her,1,2,"{""2"":1}"
Bulk Buying & Case Packs,1,2,"{""2"":1}"
Cat T-Shirts,1,2,"{""2"":1}"
Chef Pants,1,6,"{""6"":1}"
Christening,1,5,"{""5"":1}"
Civil Service,1,4,"{""4"":1}"
Clothing Coinstar Exclusive,1,2,"{""2"":1}"
Clothing Outlet for Rank,1,2,"{""2"":1}"
Coats & Jackets under $75,1,2,"{""2"":1}"
Commuter Pass Cases,1,6,"{""6"":1}"
Compression Arm Sleeves,1,6,"{""6"":1}"
Cross-Body Sling Bags,1,4,"{""4"":1}"
Cummerbunds,1,5,"{""5"":1}"
Curated Brands: Plus Size,1,2,"{""2"":1}"
Deal of the Day: Up to 40% Off Men's PUMA Sneakers,1,2,"{""2"":1}"
Diamond Jewelry starting $49,1,2,"{""2"":1}"
Diamond Jewelry Store,1,2,"{""2"":1}"
Dresses & Jumpers,1,5,"{""5"":1}"
Dresses- Checks,1,2,"{""2"":1}"
Editor's Picks: Women's New Arrivals,1,2,"{""2"":1}"
Electric Shoe Polishers,1,4,"{""4"":1}"
Expert Beauty Trends,1,2,"{""2"":1}"
Fall-Ready Shirtdresses,1,2,"{""2"":1}"
Family Athleisure,1,2,"{""2"":1}"
Fashion Gift Guide: For the Master of Make-Believe,1,2,"{""2"":1}"
Feminine Spring Blouses,1,2,"{""2"":1}"
Fine Jewelry for Women,1,2,"{""2"":1}"
"Free One-Day Shipping on Jewelry, Watches, & More",1,2,"{""2"":1}"
Garter Belts,1,7,"{""7"":1}"
Garters & Garter Belts,1,6,"{""6"":1}"
Girls Athletic & Oxfords,1,3,"{""3"":1}"
Girls Flats & Loafers,1,3,"{""3"":1}"
Girls Leggings,1,3,"{""3"":1}"
Girls Pants,1,3,"{""3"":1}"
Girls Sneakers (no fs),1,3,"{""3"":1}"
Girls' School Essentials,1,2,"{""2"":1}"
Girls' Sneakers under $35,1,2,"{""2"":1}"
Graduation Cohort 1 - Daily,1,2,"{""2"":1}"
Hand Fans,1,4,"{""4"":1}"
HG Frequent Plus 4+ Stars,1,2,"{""2"":1}"
Holiday Together: Holiday Happy,1,2,"{""2"":1}"
Kids Apparel,1,2,"{""2"":1}"
Kids Sleepwear & Robes,1,2,"{""2"":1}"
Kids Sweaters,1,2,"{""2"":1}"
Knee-High Socks,1,6,"{""6"":1}"
Kung Fu,1,4,"{""4"":1}"
Lee Lowest Prices Of The Season,1,2,"{""2"":1}"
Luggage Handle Wraps,1,5,"{""5"":1}"
Made in USA,1,2,"{""2"":1}"
Memorial Day Savings 2016,1,2,"{""2"":1}"
Men's Action Sport Watches,1,2,"{""2"":1}"
Men's Activewear: Bottoms,1,2,"{""2"":1}"
Men's Denim Updates,1,2,"{""2"":1}"
Men's Off-to-College Essentials,1,2,"{""2"":1}"
Men's Outerwear: Parka,1,2,"{""2"":1}"
Men's Shorts Under $25 - Prod,1,2,"{""2"":1}"
Men's Slippers Under $40,1,2,"{""2"":1}"
Most Gifted Styles,1,2,"{""2"":1}"
Must See Deals,1,2,"{""2"":1}"
Nightshirts,1,5,"{""5"":1}"
Not-Your-Mother's Cableknit,1,2,"{""2"":1}"
Off to College Fashion,1,2,"{""2"":1}"
Old Glory Exclusives,1,2,"{""2"":1}"
Over $50,1,2,"{""2"":1}"
Paddle Fans,1,5,"{""5"":1}"
"Pajamas, Loungewear & More",1,2,"{""2"":1}"
PD23_All fashion deals running on all of lead up v5,1,2,"{""2"":1}"
Pendant Enhancers,1,5,"{""5"":1}"
Plain Silver Jewelry,1,2,"{""2"":1}"
Pocket Squares,1,5,"{""5"":1}"
PP Boots Under $75,1,2,"{""2"":1}"
PP Slippers Under $40,1,2,"{""2"":1}"
Premium Tops,1,2,"{""2"":1}"
Pretty Winter Floral Prints,1,2,"{""2"":1}"
Prime Wardrobe: Levi's Try Before You Buy,1,2,"{""2"":1}"
Prime Wardrobe: New Arrivals,1,2,"{""2"":1}"
Prime Wardrobe: Under Armour,1,2,"{""2"":1}"
Prom,1,2,"{""2"":1}"
Prom- Dresses,1,2,"{""2"":1}"
Rain Boots,1,5,"{""5"":1}"
Rhinestones earrings,1,2,"{""2"":1}"
Ring Sizers,1,4,"{""4"":1}"
Save up to X% on Burt's Bees,1,2,"{""2"":1}"
Shoe Measuring Devices,1,4,"{""4"":1}"
Shop by Occasion for Her: Vacation,1,2,"{""2"":1}"
Shop Your Style: Classic,1,2,"{""2"":1}"
Shopbop September 2019 EOTS,1,2,"{""2"":1}"
Ski Suits,1,5,"{""5"":1}"
"Skirts, Scooters & Skorts",1,5,"{""5"":1}"
Skorts,1,6,"{""6"":1}"
Softshell Jackets,1,6,"{""6"":1}"
Special Occasion Gloves,1,4,"{""4"":1}"
Students' Top Rated,1,2,"{""2"":1}"
Sunglasses Starting at $15,1,2,"{""2"":1}"
Swim Pants,1,5,"{""5"":1}"
Tactical boots,1,2,"{""2"":1}"
Taekwondo,1,4,"{""4"":1}"
Take 25% Off | Holiday Savings for Women,1,2,"{""2"":1}"
The Women's Warm-Weather Edit,1,2,"{""2"":1}"
Toddler Size 6,1,2,"{""2"":1}"
Toddler Size 7,1,2,"{""2"":1}"
Toddler Size 8,1,2,"{""2"":1}"
Top Brands Under $149,1,2,"{""2"":1}"
Top Gifts for the Family: Colorful Crocs,1,2,"{""2"":1}"
Top Rated Fashion Capital Favorites,1,2,"{""2"":1}"
Total Sleepwear & Robes,1,3,"{""3"":1}"
Total Sweaters,1,3,"{""3"":1}"
TurboTax Refund Bonus Exclusive: 20% Off Select Shoes,1,2,"{""2"":1}"
Undershorts,1,6,"{""6"":1}"
Uniform Dress Shoes,1,5,"{""5"":1}"
"Up to 30% off select shoes from Clarks, ECCO, and more",1,2,"{""2"":1}"
"Up to 30% off Shoes, Handbags and More",1,2,"{""2"":1}"
Up to 70% Off Men's Mid-Summer Savings,1,2,"{""2"":1}"
Walking Sticks & Canes,1,4,"{""4"":1}"
Wands,1,4,"{""4"":1}"
Wide Leg Pants,1,2,"{""2"":1}"
Women's Activewear Under $25,1,2,"{""2"":1}"
Women's Boots Under $75,1,2,"{""2"":1}"
Women's Fall Boots,1,2,"{""2"":1}"
Women's leopard print dresses,1,2,"{""2"":1}"
Women's Maxi Dresses,1,2,"{""2"":1}"
Women's Oversized Blazers for Fall,1,2,"{""2"":1}"
Women's Romantic Loungewear,1,2,"{""2"":1}"
Women's Shoes,1,2,"{""2"":1}"
"Women's sleepwear, swimwear, and more from Ekouaer and AI'MAGE",1,2,"{""2"":1}"
Women's Summer-Ready Skirts,1,2,"{""2"":1}"
Women's Sweaters Under $30,1,2,"{""2"":1}"
Women's Sweaters Under $50,1,2,"{""2"":1}"
Women's Swim Under $25,1,2,"{""2"":1}"
Womens New Arrivals,1,2,"{""2"":1}"
Work Dresses Under $50,1,2,"{""2"":1}"
