line_number,parent_asin,title,category_depth,category_path,categories_json
16063,B079Q4GF7Y,Vegatos Women Short Sleeve Rash Guard UPF 50+ Rashguard Athletic Swimwear Top,5,"Clothing, Shoes & Jewelry > Women > Clothing > Swimsuits & Cover Ups > Rash Guard Shirts","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Swimsuits & Cover Ups"", ""Rash Guard Shirts""]"
16064,B08JTYNYW6,yxiyxi Kids Watch 3D Cute Cartoon Analog Waterproof Color Lights Flashing Girls Boys Toddler Wrist Watch for Little Child Time Teacher for Children 3-10 Year,4,"Clothing, Shoes & Jewelry > Girls > Watches > Wrist Watches","[""Clothing, Shoes & Jewelry"", ""Girls"", ""Watches"", ""Wrist Watches""]"
16065,B00XLCPSRO,"Creabygirls Womens Plus Size Print High Waist Two Piece Tassel Swimsuits(RoyalBlue,Large)",6,"Clothing, Shoes & Jewelry > Women > Clothing > Swimsuits & Cover Ups > Bikinis > Sets","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Swimsuits & Cover Ups"", ""Bikinis"", ""Sets""]"
16066,B08P7Q5J8S,Thermowave 3in1 Merino Wool Base Layer Mens Pants - Long Johns for Men - Mens Thermal Underwear 330 GSM,6,"Clothing, Shoes & Jewelry > Men > Clothing > Underwear > Thermal Underwear > Bottoms","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Underwear"", ""Thermal Underwear"", ""Bottoms""]"
16067,B01N6P6LOT,Lee Men's Short Sleeve Button Down Dress Shirt,5,"Clothing, Shoes & Jewelry > Men > Clothing > Shirts > Dress Shirts","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Shirts"", ""Dress Shirts""]"
16068,B08LPS431B,Under Armour Men's ABC Camo Long Sleeve T-Shirt,6,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > T-Shirts","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Active"", ""Active Shirts & Tees"", ""T-Shirts""]"
16069,B09Z8YGG4M,Women's Denim Shirts Long/Roll Up Sleeve Button Down Chambray Shirt Casual Loose Jean Shirts Vintage Tops Tunic Blouses,5,"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > Blouses & Button-Down Shirts","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Tops, Tees & Blouses"", ""Blouses & Button-Down Shirts""]"
16070,B00IS00X6K,K-SWISS Men's Tubes 150 L,4,"Clothing, Shoes & Jewelry > Men > Shoes > Fashion Sneakers","[""Clothing, Shoes & Jewelry"", ""Men"", ""Shoes"", ""Fashion Sneakers""]"
16071,B07HKJVHLL,Allegra K Women's Buckle Ankle Strap Low Block Heel Black Sandals - 6 M US,5,"Clothing, Shoes & Jewelry > Women > Shoes > Sandals > Heeled Sandals","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Sandals"", ""Heeled Sandals""]"
16072,B07HF3RTCC,WILLOWBIRD Oxidized Sterling Silver Engraved Filigree Turtle Necklace on 18 Inch Chain for Women (Turtle),5,"Clothing, Shoes & Jewelry > Women > Jewelry > Necklaces > Pendant Necklaces","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Necklaces"", ""Pendant Necklaces""]"
16073,B07CRZ28C8,VIR JEWELS 1.20 cttw Purple Amethyst Ring .925 Sterling Silver with Rhodium Oval 8x6 MM,5,"Clothing, Shoes & Jewelry > Women > Jewelry > Rings > Statement","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Rings"", ""Statement""]"
16074,B07K2JJ21X,Good Lad Toddler & 4/6X Girls Seersucker Smocked Nautical Dress with Nautical Embroideries,5,"Clothing, Shoes & Jewelry > Girls > Clothing > Dresses > Casual","[""Clothing, Shoes & Jewelry"", ""Girls"", ""Clothing"", ""Dresses"", ""Casual""]"
16075,B00LFVE90U,Gem Stone King 13.00 Ct Green Prasiolite 16x12mm Pear Shape Gold Plated Silver Dangle Earrings,5,"Clothing, Shoes & Jewelry > Women > Jewelry > Earrings > Drop & Dangle","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Earrings"", ""Drop & Dangle""]"
16076,B07GRG3GG7,Women's Bastet Cat Purse Standard,5,"Clothing, Shoes & Jewelry > Women > Accessories > Wallets, Card Cases & Money Organizers > Coin Purses & Pouches","[""Clothing, Shoes & Jewelry"", ""Women"", ""Accessories"", ""Wallets, Card Cases & Money Organizers"", ""Coin Purses & Pouches""]"
16077,B072L15XKT,soutong Sexy Men's G-String Underwear Ice Silk Thong Underwear for Men,5,"Clothing, Shoes & Jewelry > Men > Clothing > Underwear > G-Strings & Thongs","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Underwear"", ""G-Strings & Thongs""]"
16078,B00SNKUHFC,Rockport Men's Activflex Rocsports Lite MDGD Oxford-,3,"Clothing, Shoes & Jewelry > Men > Shoes","[""Clothing, Shoes & Jewelry"", ""Men"", ""Shoes""]"
16079,B00HA13O3W,Buckle Rage Adult Womens Saddle Horseshoe Western Horse Ride Belt Buckle Silver,7,"Clothing, Shoes & Jewelry > Novelty & More > Clothing > Novelty > Men > Accessories > Belt Buckles","[""Clothing, Shoes & Jewelry"", ""Novelty & More"", ""Clothing"", ""Novelty"", ""Men"", ""Accessories"", ""Belt Buckles""]"
16080,B07Q8V9LHB,Next Level Ladies' Festival Cali Crop T-Shirt L ASH,5,"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > T-Shirts","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Tops, Tees & Blouses"", ""T-Shirts""]"
16081,B082S7GPRJ,A for Awesome Girls Sleeveless Printed Dress Medium,2,"Clothing, Shoes & Jewelry > Westlake","[""Clothing, Shoes & Jewelry"", ""Westlake""]"
16082,B01HIV6SPO,10K White Gold Diamond Accented Sideways Cross Rope Design Statement Ring (K-M Color),5,"Clothing, Shoes & Jewelry > Women > Jewelry > Rings > Statement","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Rings"", ""Statement""]"
16083,B00TL15AOU,Oxford Diamond Co 3 Princess Cut Lab Created Blue Fire Opal & Cubic Zirconia .925 Sterling Silver Ring Sizes 5-8,4,"Clothing, Shoes & Jewelry > Women > Jewelry > Rings","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Rings""]"
16084,B07QG3WD68,"Ralph Lauren Mens Slim Fit Pony Logo Oxford Shirt (L, White)",5,"Clothing, Shoes & Jewelry > Men > Clothing > Shirts > Dress Shirts","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Shirts"", ""Dress Shirts""]"
16085,B09K8Z4MMS,My Chemical Romance Men's Black Parade Logo Baseball Cap Black,8,"Clothing, Shoes & Jewelry > Novelty & More > Clothing > Novelty > Men > Accessories > Hats & Caps > Baseball Caps","[""Clothing, Shoes & Jewelry"", ""Novelty & More"", ""Clothing"", ""Novelty"", ""Men"", ""Accessories"", ""Hats & Caps"", ""Baseball Caps""]"
16086,B09PZXZH2L,"Shoe Key Chains Retro Shoe Key Chains Random Pack of 12 Retro Vintage Fun Gifts Collectible for Sneaker Fans & Sneaker Headz Party Favor, Multicolor",4,"Clothing, Shoes & Jewelry > Shoe, Jewelry & Watch Accessories > Shoe Care & Accessories > Shoe Decoration Charms","[""Clothing, Shoes & Jewelry"", ""Shoe, Jewelry & Watch Accessories"", ""Shoe Care & Accessories"", ""Shoe Decoration Charms""]"
16087,B0C2TZXDNP,SKiporty Men's Ratchet Belt Leather 1 3/8'' Adjustable Belts for Men Dress Casual Jeans Comfort Trim to Fit,4,"Clothing, Shoes & Jewelry > Men > Accessories > Belts","[""Clothing, Shoes & Jewelry"", ""Men"", ""Accessories"", ""Belts""]"
16088,B07VC81P33,SOLY HUX Women's Newspaper Print Letter Top Button Down Long Sleeve Blouse Black and White L,2,"Clothing, Shoes & Jewelry > Westlake","[""Clothing, Shoes & Jewelry"", ""Westlake""]"
16089,B0796RDN1B,Fenta Women Fitness Yoga Pants Quick-Drying Running Girls Compression Pant Skinny,3,"Clothing, Shoes & Jewelry > Sport Specific Clothing > Running","[""Clothing, Shoes & Jewelry"", ""Sport Specific Clothing"", ""Running""]"
16090,B08CR5MN18,Caki Sweigo Camouflage Toddler Kids School Backpack Camo Prints Preschool Bookbag Kindergarten Daypack for Kids,4,"Clothing, Shoes & Jewelry > Luggage & Travel Gear > Backpacks > Kids' Backpacks","[""Clothing, Shoes & Jewelry"", ""Luggage & Travel Gear"", ""Backpacks"", ""Kids' Backpacks""]"
16091,B01FVXTTTI,Pink Universe Full CZ Row Silver Clip On Earrings 2 pcs in 1 Pair with Gift Box,5,"Clothing, Shoes & Jewelry > Women > Jewelry > Earrings > Stud","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Earrings"", ""Stud""]"
16092,B07FGCGHJR,Democracy Women's Ab Solution High Rise Ankle Length,4,"Clothing, Shoes & Jewelry > Women > Clothing > Jeans","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Jeans""]"
16093,B09B49PSZL,Natori Women Aria Full Fit Wireless Bra,7,"Clothing, Shoes & Jewelry > Women > Clothing > Lingerie, Sleep & Lounge > Lingerie > Bras > Everyday Bras","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Lingerie, Sleep & Lounge"", ""Lingerie"", ""Bras"", ""Everyday Bras""]"
16094,B0943MTYCQ,MYHALF Cats and Plants Shirt Women Plant Lady Shirts Gardening T Shirt Botanical Lover Gift Tee Top,7,"Clothing, Shoes & Jewelry > Novelty & More > Clothing > Novelty > Women > Tops & Tees > T-Shirts","[""Clothing, Shoes & Jewelry"", ""Novelty & More"", ""Clothing"", ""Novelty"", ""Women"", ""Tops & Tees"", ""T-Shirts""]"
16095,B07W2VQ5T1,Three Rooker Headless Horseman Ties Mens Halloween Tie Sleepy Hollow Necktie,7,"Clothing, Shoes & Jewelry > Novelty & More > Clothing > Novelty > Men > Accessories > Neckties","[""Clothing, Shoes & Jewelry"", ""Novelty & More"", ""Clothing"", ""Novelty"", ""Men"", ""Accessories"", ""Neckties""]"
16096,B00MTHBSOE,"Classical Crystal Bracelet, Gold Plated Bracelet, bling crystal bracelet",4,"Clothing, Shoes & Jewelry > Women > Jewelry > Bracelets","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Bracelets""]"
16097,B07CV2NB8B,KR Strikeforce Women's O.P.P Bowling Shoes White/Periwinkle,5,"Clothing, Shoes & Jewelry > Women > Shoes > Athletic > Bowling","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Athletic"", ""Bowling""]"
16098,B00S1JY0EO,WHITE MOUNTAIN 'Vacation' Women's Leather Moccasin,4,"Clothing, Shoes & Jewelry > Women > Shoes > Loafers & Slip-Ons","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Loafers & Slip-Ons""]"
16099,B09SYCJK9G,"HFSelect 14k Gold Plated Cubic Zirconia Initial Necklace, Crown Letter Pendant Necklace for women, Gold Letter Jewelry Gifts for Women, 16""+ 2"" Inch Extender",5,"Clothing, Shoes & Jewelry > Women > Jewelry > Necklaces > Pendant Necklaces","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Necklaces"", ""Pendant Necklaces""]"
16100,B07NQC7TF1,FISACE Womens Espadrille Strappy Open Toe Flatform Ankle Buckle Strap Mid High Wedge Sandals,3,"Clothing, Shoes & Jewelry > Women > Shoes","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes""]"
16101,B003XRKMT6,Alki'i Women's One-Size-fits-All Ruffled Tube Dress/Coverup,5,"Clothing, Shoes & Jewelry > Women > Clothing > Dresses > Casual","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Dresses"", ""Casual""]"
16102,B004SEPCES,Hush Puppies Women's Blondelle Slip-On Loafer,4,"Clothing, Shoes & Jewelry > Women > Shoes > Loafers & Slip-Ons","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Loafers & Slip-Ons""]"
16103,B08TMKKFF7,Ekouaer Women Swimsuit Cover Ups Batwing Sleeve Sheer Lace Cover Up Bathing Suit Beach Dress,5,"Clothing, Shoes & Jewelry > Women > Clothing > Swimsuits & Cover Ups > Cover-Ups","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Swimsuits & Cover Ups"", ""Cover-Ups""]"
16104,B00NVZGDN4,Kenneth Cole Unlisted Men's In-Vert 2H Tuxedo Loafer,4,"Clothing, Shoes & Jewelry > Men > Shoes > Loafers & Slip-Ons","[""Clothing, Shoes & Jewelry"", ""Men"", ""Shoes"", ""Loafers & Slip-Ons""]"
16105,B09M83HW4X,RUUHEE Women V Neck Ruffled Flounce One Piece Swimsuit Ruched Tummy Control Bathing Suits,5,"Clothing, Shoes & Jewelry > Women > Clothing > Swimsuits & Cover Ups > One-Pieces","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Swimsuits & Cover Ups"", ""One-Pieces""]"
16106,B06XR9XTTN,"JARA 2017 Sports Polarized Sunglasses for Men Driver Golf Metal Frame 8516 (gold/gray, 57)",5,"Clothing, Shoes & Jewelry > Women > Accessories > Sunglasses & Eyewear Accessories > Sunglasses","[""Clothing, Shoes & Jewelry"", ""Women"", ""Accessories"", ""Sunglasses & Eyewear Accessories"", ""Sunglasses""]"
16107,B07JVGNPL8,Unisex Printing Holographic Iridescent Metallic Gym Sport Team Issue Duffel Bag by Top Carpenter,4,"Clothing, Shoes & Jewelry > Luggage & Travel Gear > Gym Bags > Sports Duffels","[""Clothing, Shoes & Jewelry"", ""Luggage & Travel Gear"", ""Gym Bags"", ""Sports Duffels""]"
16108,B07VV9LWL6,Womens Camo Print Tops Crew Neck Long Sleeve Loose Fit Casual Sweatshirt Pullover Shirts (S-2XL),4,"Clothing, Shoes & Jewelry > Women > Clothing > Fashion Hoodies & Sweatshirts","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Fashion Hoodies & Sweatshirts""]"
16109,B000AMPHC4,House of Rice Black Performance Folding Fan #359,4,"Clothing, Shoes & Jewelry > Costumes & Accessories > Women > Accessories","[""Clothing, Shoes & Jewelry"", ""Costumes & Accessories"", ""Women"", ""Accessories""]"
16110,B07S19YKBG,"Lightweight Non Slip Waterproof Professional Slip ON Shoes for Women (7, White)",5,"Clothing, Shoes & Jewelry > Women > Uniforms, Work & Safety > Shoes > Health Care & Food Service","[""Clothing, Shoes & Jewelry"", ""Women"", ""Uniforms, Work & Safety"", ""Shoes"", ""Health Care & Food Service""]"
16111,B00CJ4LVWG,"Carrera CA69/S Pilot Sunglasses, Semi Matte Gold, 60 mm",5,"Clothing, Shoes & Jewelry > Women > Accessories > Sunglasses & Eyewear Accessories > Sunglasses","[""Clothing, Shoes & Jewelry"", ""Women"", ""Accessories"", ""Sunglasses & Eyewear Accessories"", ""Sunglasses""]"
16112,B01BHDRSE4,Function - St. Patrick's Day Irish Flag Fashion Socks,5,"Clothing, Shoes & Jewelry > Men > Clothing > Socks & Hosiery > Socks","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Socks & Hosiery"", ""Socks""]"
16113,B079NQSKRG,SARJANA HANDICRAFTS Men Harem Pants Mos Crepe Yoga Trousers Hippie Genie,5,"Clothing, Shoes & Jewelry > Men > Clothing > Pants > Casual","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Pants"", ""Casual""]"
16114,B07WRDLKK1,FINWANLO Sweatshirt Dress Women Pullover Hoodie Dresses Long Sleeve Casual Hooded Tunic Tops with Pockets,6,"Clothing, Shoes & Jewelry > Novelty & More > Clothing > Novelty > Women > Hoodies","[""Clothing, Shoes & Jewelry"", ""Novelty & More"", ""Clothing"", ""Novelty"", ""Women"", ""Hoodies""]"
16115,B0775Z2GTC,"Owl Dangle Earring for Women,Hypoallergenic Rose Gold and Silver Plated Drop Earrings with Shining Crystal (Rose Gold)",5,"Clothing, Shoes & Jewelry > Women > Jewelry > Earrings > Drop & Dangle","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Earrings"", ""Drop & Dangle""]"
16116,B008J4G92M,"KEEN Women's Mercer Ballerina CNX Shoe,Mimosa,8 M US",5,"Clothing, Shoes & Jewelry > Women > Shoes > Athletic > Walking","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Athletic"", ""Walking""]"
16117,B00KV7CERY,"Alex and Ani Sea Canopy Wrap in Rafaelian Gold, VW400RG",5,"Clothing, Shoes & Jewelry > Women > Jewelry > Bracelets > Bangle","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Bracelets"", ""Bangle""]"
16118,B08RXX9LR7,Unisex Shirt Extender Adjustable Layering Fake Top Lower Sweep Half-Length False Hemline for Women,7,"Clothing, Shoes & Jewelry > Women > Clothing > Lingerie, Sleep & Lounge > Lingerie > Slips > Half Slips","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Lingerie, Sleep & Lounge"", ""Lingerie"", ""Slips"", ""Half Slips""]"
16119,B0713SRLP2,SOUL Naturalizer Women's Beatrice Fisherman Sandal chocolate 8.5 W US,5,"Clothing, Shoes & Jewelry > Women > Shoes > Sandals > Platforms & Wedges","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Sandals"", ""Platforms & Wedges""]"
16120,B07H4SXPX7,Comfyballs Mens 2018 Performance Long Sports High Intensity Boxer Briefs Navy/Red Medium,5,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Active"", ""Active Pants""]"
16121,B005OTVIHG,adidas Women's Vigor TR 2 W-W,6,"Clothing, Shoes & Jewelry > Women > Shoes > Athletic > Running > Trail Running","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Athletic"", ""Running"", ""Trail Running""]"
16122,B08HKYNYK1,"FSIGOM Children's Winter Cotton Shoes,Kid Baotou Plus Velvet Waterproof Non-Slip Cashmere Cotton Shoes,Boy's and Girl's Winter Home Cotton Mopping Shoes (Grey, Numeric_7)",4,"Clothing, Shoes & Jewelry > Boys > Shoes > Slippers","[""Clothing, Shoes & Jewelry"", ""Boys"", ""Shoes"", ""Slippers""]"
16123,B00RV94NP6,PattyBoutik Women Floral Lace Off Shoulder Top (Burgundy Small),5,"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > Blouses & Button-Down Shirts","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Tops, Tees & Blouses"", ""Blouses & Button-Down Shirts""]"
16124,B07B68CLY7,MIA Amore Freedom-F Denim 11 M,2,"Clothing, Shoes & Jewelry > Women","[""Clothing, Shoes & Jewelry"", ""Women""]"
16125,B08BDYGJDG,"Converse Mens Chuck Taylor All Star Low Top Sneaker, Tie Dye, 9M",4,"Clothing, Shoes & Jewelry > Women > Shoes > Fashion Sneakers","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Fashion Sneakers""]"
16126,B0BS2C611R,London Times Kourtney Maxi,4,"Clothing, Shoes & Jewelry > Women > Clothing > Dresses","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Dresses""]"
16127,B00UCI0YOC,"Rieker Women's, D1603 Doris Low Heel Casuals Silver 3.6 M",3,"Clothing, Shoes & Jewelry > Women > Shoes","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes""]"
16128,B06XVCSH8G,SwankySwans Jamie Suede Velvet Flapover Womens Party Prom Ladies Clutch Bag,5,"Clothing, Shoes & Jewelry > Women > Handbags & Wallets > Clutches & Evening Bags > Clutches","[""Clothing, Shoes & Jewelry"", ""Women"", ""Handbags & Wallets"", ""Clutches & Evening Bags"", ""Clutches""]"
16129,B08MD2KQ67,"YeGieonr Gold Bracelets for Women, Open Cuff Women's Bangle Bracelets with 18K Gold Plated, Adjustable Minimalist C-Shape Brass Bangles",5,"Clothing, Shoes & Jewelry > Women > Jewelry > Bracelets > Bangle","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Bracelets"", ""Bangle""]"
16130,B00AK8SFPE,Salomon Women's Outban Cross Training Shoe,5,"Clothing, Shoes & Jewelry > Women > Shoes > Athletic > Fitness & Cross-Training","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Athletic"", ""Fitness & Cross-Training""]"
16131,B08G26Q7GX,Concept 3 by Skechers Women's I-Catcher Sneaker,4,"Clothing, Shoes & Jewelry > Women > Shoes > Fashion Sneakers","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Fashion Sneakers""]"
16132,B08BLTRJGT,SPRAYGROUND BACKPACK ON MY WAY UP BACKPACK,4,"Clothing, Shoes & Jewelry > Luggage & Travel Gear > Backpacks > Casual Daypacks","[""Clothing, Shoes & Jewelry"", ""Luggage & Travel Gear"", ""Backpacks"", ""Casual Daypacks""]"
16133,B01MXLBXCO,Moving Comfort Rebound Racer High Impact Sports Bra (350037) 36C/Heather Asphalt/Reed,2,"Clothing, Shoes & Jewelry > Westlake","[""Clothing, Shoes & Jewelry"", ""Westlake""]"
16134,B08J7YYRRG,Women's Fluffy Marabou Feather High Heels Strappy Heeled Sandals with Fur Big Size B-01,5,"Clothing, Shoes & Jewelry > Women > Shoes > Sandals > Heeled Sandals","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Sandals"", ""Heeled Sandals""]"
16135,B093B7C89N,COOFANDY Men's 2 Packs Pleated Sleeve Crewneck Workout T-Shirts Muscle Fit Fashion Tee (KH/NB M),3,"Clothing, Shoes & Jewelry > Sport Specific Clothing > Running","[""Clothing, Shoes & Jewelry"", ""Sport Specific Clothing"", ""Running""]"
16136,B08DNHW229,EFAN Women's Waffle Knit Fall Oversized Sweater V Neck Pullover Long Sleeve Loose Warm Shirt Tops with Pockets Grey - Medium,5,"Clothing, Shoes & Jewelry > Women > Clothing > Sweaters > Pullovers","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Sweaters"", ""Pullovers""]"
16137,B007VHX0RA,Enzo Angiolini Women's Bertolino2 Ballerina Flat,4,"Clothing, Shoes & Jewelry > Women > Shoes > Flats","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Flats""]"
16138,B077XN5RDK,Under Armour Men's Threadborne Graphic Hoody,5,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Active"", ""Active Hoodies""]"
16139,B018S9VM24,PrettyGuide Women's 1920s Vintage Beads Sequin Fireworks Fringed Flapper Gatsby Dress,5,"Clothing, Shoes & Jewelry > Women > Clothing > Dresses > Club & Night Out","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Dresses"", ""Club & Night Out""]"
16140,B00AZHJOB4,Vince Camuto Women's Tamma Flat,4,"Clothing, Shoes & Jewelry > Women > Shoes > Flats","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Flats""]"
16141,B001F51Z2G,Jessica Simpson Women's Grace Slide,4,"Clothing, Shoes & Jewelry > Women > Shoes > Sandals","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Sandals""]"
16142,B07JZ6WW8N,Pinkpum Men's Lightweight Rain Jacket Water Resistant Kaki S,6,"Clothing, Shoes & Jewelry > Men > Clothing > Jackets & Coats > Lightweight Jackets > Windbreakers","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Jackets & Coats"", ""Lightweight Jackets"", ""Windbreakers""]"
16143,B00DQYYTFE,"Kenneth Cole New York Men's Chief Council Oxford, Black, 12 M US",4,"Clothing, Shoes & Jewelry > Men > Shoes > Oxfords","[""Clothing, Shoes & Jewelry"", ""Men"", ""Shoes"", ""Oxfords""]"
16144,B0013HSXVM,Timex Unisex T5K080 1440 Sports Resin Strap Watch,4,"Clothing, Shoes & Jewelry > Women > Watches > Wrist Watches","[""Clothing, Shoes & Jewelry"", ""Women"", ""Watches"", ""Wrist Watches""]"
16145,B07RG8C8W8,"Marquis Burgundy Long-Sleeve Banded Collar Shirt - L- Neck -16.5,Sleeve - 34-35",5,"Clothing, Shoes & Jewelry > Men > Clothing > Shirts > Casual Button-Down Shirts","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Shirts"", ""Casual Button-Down Shirts""]"
16146,B018782086,i play. Girls One-piece Ruffle Swimsuit with Built-in Reusable Swim Diaper,6,"Clothing, Shoes & Jewelry > Baby > Baby Girls > Clothing > Swim > One Pieces","[""Clothing, Shoes & Jewelry"", ""Baby"", ""Baby Girls"", ""Clothing"", ""Swim"", ""One Pieces""]"
16147,B00D1R4O5Q,Merrell Women's Encore Tangle Lavish Slip-On Shoe,4,"Clothing, Shoes & Jewelry > Women > Shoes > Mules & Clogs","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Mules & Clogs""]"
16148,B00G4FG6C6,"Bernie Mev Women Gem Yael Flats,Black,39",4,"Clothing, Shoes & Jewelry > Women > Shoes > Flats","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Flats""]"
16149,B07SXBCKM6,Nike Mens NSW Club Hoodie FZ BB,5,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Active"", ""Active Hoodies""]"
16150,B0772WZ6XV,Thread Tank Coffee Books and Rainy Days Women's Fashion Relaxed V-Neck T-Shirt Tee,7,"Clothing, Shoes & Jewelry > Novelty & More > Clothing > Novelty > Women > Tops & Tees > T-Shirts","[""Clothing, Shoes & Jewelry"", ""Novelty & More"", ""Clothing"", ""Novelty"", ""Women"", ""Tops & Tees"", ""T-Shirts""]"
16151,B07DWN9QRZ,adidas Women's Parley Skirt,6,"Clothing, Shoes & Jewelry > Women > Clothing > Active > Skirts & Skorts > Active Skirts","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Active"", ""Skirts & Skorts"", ""Active Skirts""]"
16152,B0757XL6BC,"DIOSA Loose V Neck Sweater Women's Long Sleeve Knitted Pullover Loose Casual Tops Knitwear, Pink, L-(US 8-10)",5,"Clothing, Shoes & Jewelry > Women > Clothing > Sweaters > Pullovers","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Sweaters"", ""Pullovers""]"
16153,B07QLWCLDV,Tahari ASL Women's Double Peplum Jacket and Skirt Set,5,"Clothing, Shoes & Jewelry > Women > Clothing > Suiting & Blazers > Suit Sets","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Suiting & Blazers"", ""Suit Sets""]"
16154,B0B7652Y8W,YLWJSP 26 Letters Initial Charms Bracelet Initial Charm Bracelets Hollow Out Birthday Christmas Jewelry Gift Friendship Bracelets,5,"Clothing, Shoes & Jewelry > Girls > Jewelry > Bracelets > Charm","[""Clothing, Shoes & Jewelry"", ""Girls"", ""Jewelry"", ""Bracelets"", ""Charm""]"
16155,B0BN8L6L4H,Calvin Klein Jade Top Zip Shoulder Bag,4,"Clothing, Shoes & Jewelry > Women > Handbags & Wallets > Shoulder Bags","[""Clothing, Shoes & Jewelry"", ""Women"", ""Handbags & Wallets"", ""Shoulder Bags""]"
16156,B008RPB8CO,KEEN Utility Men's Lexington Low Composite Toe Work Boot,6,"Clothing, Shoes & Jewelry > Men > Uniforms, Work & Safety > Shoes > Work & Utility > Shoes","[""Clothing, Shoes & Jewelry"", ""Men"", ""Uniforms, Work & Safety"", ""Shoes"", ""Work & Utility"", ""Shoes""]"
